Imagen,Cluster,IoU,Ruta de salida
00485_2,7,0.2608,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00485_2_cluster7_iou0.26.png
00190_3,8,0.3072,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00190_3_cluster8_iou0.31.png
00478_2,6,0.0933,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00478_2_cluster6_iou0.09.png
00393_4,9,0.4365,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00393_4_cluster9_iou0.44.png
00072_1,4,0.2634,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00072_1_cluster4_iou0.26.png
00355_2,9,0.1936,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00355_2_cluster9_iou0.19.png
00373_1,3,0.0695,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00373_1_cluster3_iou0.07.png
00128_3,9,0.4581,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00128_3_cluster9_iou0.46.png
00216_1,0,0.2894,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00216_1_cluster0_iou0.29.png
00336_1,8,0.2889,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00336_1_cluster8_iou0.29.png
00520_2,5,0.227,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00520_2_cluster5_iou0.23.png
00543_1,3,0.0579,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00543_1_cluster3_iou0.06.png
00310_2,5,0.218,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00310_2_cluster5_iou0.22.png
00565_2,4,0.3822,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00565_2_cluster4_iou0.38.png
00506_1,8,0.1747,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00506_1_cluster8_iou0.17.png
00192_1,5,0.1286,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00192_1_cluster5_iou0.13.png
00035_3,7,0.4904,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00035_3_cluster7_iou0.49.png
00037_1,2,0.2085,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00037_1_cluster2_iou0.21.png
00056_0,6,0.3083,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00056_0_cluster6_iou0.31.png
00172_4,0,0.2452,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00172_4_cluster0_iou0.25.png
00487_0,0,0.2949,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00487_0_cluster0_iou0.29.png
00013_0,7,0.2051,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00013_0_cluster7_iou0.21.png
00357_0,4,0.1068,/Users/dierickbr/Downloads/Machine Learning/aug_data-2/output/00357_0_cluster4_iou0.11.png
